old_team_name,new_team_name,age_group,gender,state,similarity_score,old_rank,new_rank,old_points,new_points
15G Rayadas,15G Rayadas,U11,Female,AZ,100.0,1,1,0,0
AZSC 2015G Navy,AZSC 2015G Navy,U11,Female,AZ,100.0,1,1,0,0
FSC United 15 Girls,FSC United 15 Girls,U11,Female,AZ,100.0,1,1,0,0
Pima Surf Academy Girls 2015/16 (Romo),Pima Surf Academy Girls 2015/16 (Romo),U11,Female,AZ,100.0,1,1,0,0
RSL-AZ Yuma 15 Girls Evans Royals,RSL-AZ Yuma 15 Girls Evans Royals,U11,Female,AZ,100.0,1,1,0,0
PRFC Southeast Valley 15G Predator-Central,PRFC Southeast Valley 15G Predator-Central,U11,Female,AZ,100.0,2,2,0,0
SASC 2015G Cardinals,SASC 2015G Cardinals,U11,Female,AZ,100.0,2,2,0,0
AZ Arsenal Pre-ECNL G15,AZ Arsenal Pre-ECNL G15,U11,Female,AZ,100.0,3,3,0,0
Flagstaff Revolution 2015 Girls,Flagstaff Revolution 2015 Girls,U11,Female,AZ,100.0,3,3,0,0
Gila Valley Elite,Gila Valley Elite,U11,Female,AZ,100.0,3,3,0,0
PRFC Scottsdale 15G Pre-Elite,PRFC Scottsdale 15G Pre-Elite,U11,Female,AZ,100.0,3,3,0,0
Scottsdale 15 Sandsharks White Girls,Scottsdale 15 Sandsharks White Girls,U11,Female,AZ,100.0,3,3,0,0
15G Larimer Royals,15G Larimer Royals,U11,Female,AZ,100.0,4,4,0,0
15G Pre-GA #2,15G Pre-GA #2,U11,Female,AZ,100.0,4,4,0,0
CCV Stars 15 Girls North Navy,CCV Stars 15 Girls North Navy,U11,Female,AZ,100.0,4,4,0,0
CDO 15G Premier,CDO 15G Premier,U11,Female,AZ,100.0,4,4,0,0
NOS Santos 15 Girls,NOS Santos 15 Girls,U11,Female,AZ,100.0,4,4,0,0
15/16G OV,15/16G OV,U11,Female,AZ,100.0,5,5,0,0
West Valley 2015 Girls Kelly,West Valley 2015 Girls Kelly,U11,Female,AZ,100.0,5,5,0,0
CCV Stars 15 Girls West Orange,CCV Stars 15 Girls West Orange,U11,Female,AZ,100.0,6,6,0,0
Pima Surf 15/16 G,Pima Surf 15/16 G,U11,Female,AZ,100.0,6,6,0,0
EXCEL25WU9U10G1TFairchild,EXCEL25WU9U10G1TFairchild,U11,Female,AZ,100.0,7,7,0,0
Kingman SC G15 Hutson,Kingman SC G15 Hutson,U11,Female,AZ,100.0,7,7,0,0
15G Klein Royals (archive),15G Klein Royals (archive),U11,Female,AZ,100.0,8,8,0,0
2015 Rush Girls,2015 Rush Girls,U11,Female,AZ,100.0,8,8,0,0
2015 Rush Nero Girls,2015 Rush Nero Girls,U11,Female,AZ,100.0,8,8,0,0
AZ Arsenal 15 Girls Teal CW,AZ Arsenal 15 Girls Teal CW,U11,Female,AZ,100.0,8,8,0,0
Amore 2015 Girls,Amore 2015 Girls,U11,Female,AZ,100.0,8,8,0,0
CCV Stars 15 Girls East Pre-GA Aspire,CCV Stars 15 Girls East Pre-GA Aspire,U11,Female,AZ,100.0,8,8,0,0
Dynamos SC 15G Gold,Dynamos SC 15G Gold,U11,Female,AZ,100.0,8,8,0,0
PRFC Desert Foothills 15G Predator,PRFC Desert Foothills 15G Predator,U11,Female,AZ,100.0,8,8,0,0
PRFC Scottsdale 15G Predator,PRFC Scottsdale 15G Predator,U11,Female,AZ,100.0,8,8,0,0
Synergy FC 15/16G,Synergy FC 15/16G,U11,Female,AZ,100.0,8,8,0,0
U-11 (2015) Girls Pre Academy Blue,U-11 (2015) Girls Pre Academy Blue,U11,Female,AZ,100.0,8,8,0,0
15G Kinney,15G Kinney,U11,Female,AZ,100.0,9,9,0,0
2015 Girls,2015 Girls,U11,Female,AZ,100.0,9,9,0,0
AYSO Prescott Predators 15G,AYSO Prescott Predators 15G,U11,Female,AZ,100.0,9,9,0,0
Excel Soccer Academy 15 G,Excel Soccer Academy 15 G,U11,Female,AZ,100.0,9,9,0,0
Northwest 2015 Girls Black,Northwest 2015 Girls Black,U11,Female,AZ,100.0,9,9,0,0
Pima Surf 2015 G Pre-DPL Barbies,Pima Surf 2015 G Pre-DPL Barbies,U11,Female,AZ,100.0,9,9,0,0
Brazas 2015 Girls Black Pacifico,Brazas 2015 Girls Black Pacifico,U11,Female,AZ,100.0,10,10,0,0
EXCEL25WU9U10G2Elsaady,EXCEL25WU9U10G2Elsaady,U11,Female,AZ,100.0,10,10,0,0
Hustle Hard 2015- Girls,Hustle Hard 2015- Girls,U11,Female,AZ,100.0,10,10,0,0
PRFC Desert Foothills 15G Samba,PRFC Desert Foothills 15G Samba,U11,Female,AZ,100.0,10,10,0,0
PRFC Scottsdale 15G Samba,PRFC Scottsdale 15G Samba,U11,Female,AZ,100.0,10,10,0,0
PRFC West Valley 15G Pre-Elite,PRFC West Valley 15G Pre-Elite,U11,Female,AZ,100.0,10,10,0,0
Phoenix Premier FC 15G Black,Phoenix Premier FC 15G Black,U11,Female,AZ,100.0,10,10,0,0
Southeast 2015 Girls Black,Southeast 2015 Girls Black,U11,Female,AZ,100.0,10,10,0,0
Southeast 2015 Girls Blue,Southeast 2015 Girls Blue,U11,Female,AZ,100.0,10,10,0,0
15G Patton Royals,15G Patton Royals,U11,Female,AZ,100.0,11,11,0,0
CDO 15/16 alliance,CDO 15/16 alliance,U11,Female,AZ,100.0,11,11,0,0
PRFC Desert Foothills 15G Copa,PRFC Desert Foothills 15G Copa,U11,Female,AZ,100.0,11,11,0,0
Scottsdale 15 Sandsharks Black Girls,Scottsdale 15 Sandsharks Black Girls,U11,Female,AZ,100.0,11,11,0,0
2015/2016 Girls,2015/2016 Girls,U11,Female,AZ,100.0,12,12,0,0
CCV Stars 15 Girls North Orange,CCV Stars 15 Girls North Orange,U11,Female,AZ,100.0,12,12,0,0
VSC 2015 Girls White,VSC 2015 Girls White,U11,Female,AZ,100.0,12,12,0,0
15 Girls Soul Warriors,15 Girls Soul Warriors,U11,Female,AZ,100.0,13,13,0,0
AZNO G2015 (NAVY),AZNO G2015 (NAVY),U11,Female,AZ,100.0,13,13,0,0
CCV Stars 15 Girls South Pre-GA Aspire,CCV Stars 15 Girls South Pre-GA Aspire,U11,Female,AZ,100.0,13,13,0,0
CCV Stars 15 Girls West Pre-GA Aspire,CCV Stars 15 Girls West Pre-GA Aspire,U11,Female,AZ,100.0,13,13,0,0
PRFC Scottsdale 15G Stars,PRFC Scottsdale 15G Stars,U11,Female,AZ,100.0,13,13,0,0
PSG 15 Blue Ladies,PSG 15 Blue Ladies,U11,Female,AZ,100.0,13,13,0,0
State 48 FC Avondale 15/16G Black,State 48 FC Avondale 15/16G Black,U11,Female,AZ,100.0,13,13,0,0
Madison FC 15 Gold Girls,Madison FC 15 Gold Girls,U11,Female,AZ,100.0,14,14,0,0
AYSO 1079 2015 Girls,AYSO 1079 2015 Girls,U11,Female,AZ,100.0,15,15,0,0
AYSO 1079 2015/16 Girls,AYSO 1079 2015/16 Girls,U11,Female,AZ,100.0,15,15,0,0
Playmaker Futbol Academy 15G Black,Playmaker Futbol Academy 15G Black,U11,Female,AZ,100.0,15,15,0,0
AZ Arsenal Pre-ECNL RL G15,AZ Arsenal Pre-ECNL RL G15,U11,Female,AZ,100.0,16,16,0,0
Scottsdale 15 Sandsharks Girls Select,Scottsdale 15 Sandsharks Girls Select,U11,Female,AZ,100.0,16,16,0,0
VSC 2015 Girls Green,VSC 2015 Girls Green,U11,Female,AZ,100.0,16,16,0,0
Pandas 15/16 Girls,Pandas 15/16 Girls,U11,Female,AZ,100.0,17,17,0,0
Select 15G,Select 15G,U11,Female,AZ,100.0,17,17,0,0
15G Pre-ECNL Jeffers Royals,15G Pre-ECNL Jeffers Royals,U11,Female,AZ,100.0,18,18,0,0
CCV Stars 15 Girls North Pre-GA Aspire,CCV Stars 15 Girls North Pre-GA Aspire,U11,Female,AZ,100.0,18,18,0,0
Dynamos SC 15G SC,Dynamos SC 15G SC,U11,Female,AZ,100.0,18,18,0,0
Little Pumas,Little Pumas,U11,Female,AZ,100.0,18,18,0,0
PSC 2015G,PSC 2015G,U11,Female,AZ,100.0,18,18,0,0
Spartak Academy 2015 Girls,Spartak Academy 2015 Girls,U11,Female,AZ,100.0,18,18,0,0
15G Brustad Royals,15G Brustad Royals,U11,Female,AZ,100.0,19,19,0,0
15G Pre-ECRL Pryor Royals,15G Pre-ECRL Pryor Royals,U11,Female,AZ,100.0,19,19,0,0
15G Pre-GA #1,15G Pre-GA #1,U11,Female,AZ,100.0,19,19,0,0
AYSO 216 10UG PSP Gila Valley Elite,AYSO 216 10UG PSP Gila Valley Elite,U11,Female,AZ,100.0,19,19,0,0
PRFC North Valley 15G Predator,PRFC North Valley 15G Predator,U11,Female,AZ,100.0,19,19,0,0
15G Klein Royals,15G Klein Royals,U11,Female,AZ,100.0,20,20,0,0
CAC 15G (Maxwell),CAC 15G (Maxwell),U11,Female,AZ,100.0,20,20,0,0
East Valley NSFC 15 Girls Castleton,East Valley NSFC 15 Girls Castleton,U11,Female,AZ,100.0,20,20,0,0
PFA Flagstaff Revolution 15G,PFA Flagstaff Revolution 15G,U11,Female,AZ,100.0,20,20,0,0
FSC United 15 Girls,TestTeam Beta 2025 Girls Premier,U11,Female,AZ,85.5,1,3,0,1020
16B Hinds,16B Hinds,U10,Male,AZ,100.0,1,1,0,0
16B OMolina,16B OMolina,U10,Male,AZ,100.0,1,1,0,0
AZ Thundercats 2016,AZ Thundercats 2016,U10,Male,AZ,100.0,1,1,0,0
PRFC North Valley 16B Predator,PRFC North Valley 16B Predator,U10,Male,AZ,100.0,1,1,0,0
Southeast 2016 Boys Black,Southeast 2016 Boys Black,U10,Male,AZ,100.0,1,1,0,0
Southeast 2016 Boys Blue,Southeast 2016 Boys Blue,U10,Male,AZ,100.0,1,1,0,0
West Valley 2016 Boys Davis,West Valley 2016 Boys Davis,U10,Male,AZ,100.0,1,1,0,0
16B Bernal,16B Bernal,U10,Male,AZ,100.0,2,2,0,0
16B GSA,16B GSA,U10,Male,AZ,100.0,2,2,0,0
16B Montoya #2,16B Montoya #2,U10,Male,AZ,100.0,2,2,0,0
AZ Arsenal 16 Boys Flagstaff PM,AZ Arsenal 16 Boys Flagstaff PM,U10,Male,AZ,100.0,2,2,0,0
Bala FC - 2016B,Bala FC - 2016B,U10,Male,AZ,100.0,2,2,0,0
Vipers FC 2016B,Vipers FC 2016B,U10,Male,AZ,100.0,2,2,0,0
16B Hosseinmardi,16B Hosseinmardi,U10,Male,AZ,100.0,3,3,0,0
16B Moyer,16B Moyer,U10,Male,AZ,100.0,3,3,0,0
PRFC Scottsdale 16B Gazelle,PRFC Scottsdale 16B Gazelle,U10,Male,AZ,100.0,3,3,0,0
Spartak Academy 2016/17 Boys,Spartak Academy 2016/17 Boys,U10,Male,AZ,100.0,3,3,0,0
16B Callaghan,16B Callaghan,U10,Male,AZ,100.0,4,4,0,0
CCV Stars 16 Boys West Navy,CCV Stars 16 Boys West Navy,U10,Male,AZ,100.0,4,4,0,0
CDO 16B Premier,CDO 16B Premier,U10,Male,AZ,100.0,4,4,0,0
PRFC West Valley 16B Copa,PRFC West Valley 16B Copa,U10,Male,AZ,100.0,4,4,0,0
16B Steve,16B Steve,U10,Male,AZ,100.0,5,5,0,0
2016 Rush Boys,2016 Rush Boys,U10,Male,AZ,100.0,5,5,0,0
Playmaker Futbol Academy 16B Black,Playmaker Futbol Academy 16B Black,U10,Male,AZ,100.0,5,5,0,0
Wolves 16/17 B,Wolves 16/17 B,U10,Male,AZ,100.0,5,5,0,0
16B KChacon,16B KChacon,U10,Male,AZ,100.0,6,6,0,0
AZ Arsenal 16 Boys Teal OC,AZ Arsenal 16 Boys Teal OC,U10,Male,AZ,100.0,6,6,0,0
CCV Stars 16 Boys East,CCV Stars 16 Boys East,U10,Male,AZ,100.0,6,6,0,0
Playmaker Futbol Academy 16B Gold,Playmaker Futbol Academy 16B Gold,U10,Male,AZ,100.0,6,6,0,0
Rangers 16B,Rangers 16B,U10,Male,AZ,100.0,6,6,0,0
State 48 FC Avondale 16 Black,State 48 FC Avondale 16 Black,U10,Male,AZ,100.0,6,6,0,0
Vipers FC 2016B,Vipers FC 2016B,U10,Male,AZ,100.0,2,6,0,0
16B LaTurco,16B LaTurco,U10,Male,AZ,100.0,7,7,0,0
Amore 2016 Boys,Amore 2016 Boys,U10,Male,AZ,100.0,7,7,0,0
Excel Soccer Academy 16B Red,Excel Soccer Academy 16B Red,U10,Male,AZ,100.0,7,7,0,0
FC Sonora 16' B United,FC Sonora 16' B United,U10,Male,AZ,100.0,7,7,0,0
PRFC North Valley 16B Copa,PRFC North Valley 16B Copa,U10,Male,AZ,100.0,7,7,0,0
Southeast 2016 Boys Green,Southeast 2016 Boys Green,U10,Male,AZ,100.0,7,7,0,0
State 48 FC 16 Elite,State 48 FC 16 Elite,U10,Male,AZ,100.0,7,7,0,0
16B Midhaan,16B Midhaan,U10,Male,AZ,100.0,8,8,0,0
Dynamos SC 16B SC,Dynamos SC 16B SC,U10,Male,AZ,100.0,8,8,0,0
Phoenix Premier FC 16B X-Factor,Phoenix Premier FC 16B X-Factor,U10,Male,AZ,100.0,8,8,0,0
Scottsdale City 16,Scottsdale City 16,U10,Male,AZ,100.0,8,8,0,0
Tuzos Academy GTA 2016,Tuzos Academy GTA 2016,U10,Male,AZ,100.0,8,8,0,0
Deportivo Coras USA 2016 B,Deportivo Coras USA 2016 B,U10,Male,AZ,100.0,9,9,0,0
FC Arizona 16B Black GFC Zazueta U10,FC Arizona 16B Black GFC Zazueta U10,U10,Male,AZ,100.0,9,9,0,0
Madison FC 16 Gold Boys,Madison FC 16 Gold Boys,U10,Male,AZ,100.0,9,9,0,0
Playmaker Futbol Academy 16/17B White,Playmaker Futbol Academy 16/17B White,U10,Male,AZ,100.0,9,9,0,0
State 48 FC Avondale 16 Gray,State 48 FC Avondale 16 Gray,U10,Male,AZ,100.0,9,9,0,0
Tuzos Chandler 2016/17 boys,Tuzos Chandler 2016/17 boys,U10,Male,AZ,100.0,9,9,0,0
AZ Arsenal 16 Boys Teal DB,AZ Arsenal 16 Boys Teal DB,U10,Male,AZ,100.0,10,10,0,0
AZSC 2016B Gold,AZSC 2016B Gold,U10,Male,AZ,100.0,10,10,0,0
Ascent United 2016/17 Boys,Ascent United 2016/17 Boys,U10,Male,AZ,100.0,10,10,0,0
BRAZAS FC 2016 Boys Gold,BRAZAS FC 2016 Boys Gold,U10,Male,AZ,100.0,10,10,0,0
FC Dorados 2016,FC Dorados 2016,U10,Male,AZ,100.0,10,10,0,0
Northwest 2016 Boys Blue,Northwest 2016 Boys Blue,U10,Male,AZ,100.0,10,10,0,0
Phoenix United 2016 Academy,Phoenix United 2016 Academy,U10,Male,AZ,100.0,10,10,0,0
State 48 FC Avondale 16 White,State 48 FC Avondale 16 White,U10,Male,AZ,100.0,10,10,0,0
Tuzos Royals 2016,Tuzos Royals 2016,U10,Male,AZ,100.0,10,10,0,0
CCV Stars 16 Boys South Navy,CCV Stars 16 Boys South Navy,U10,Male,AZ,100.0,11,11,0,0
EV-NSFC 16 Boys Clarke(2),EV-NSFC 16 Boys Clarke(2),U10,Male,AZ,100.0,11,11,0,0
PSG 16B Blue,PSG 16B Blue,U10,Male,AZ,100.0,11,11,0,0
VSC 2016 Boys Black,VSC 2016 Boys Black,U10,Male,AZ,100.0,11,11,0,0
16B Arviso #2,16B Arviso #2,U10,Male,AZ,100.0,12,12,0,0
16B GSA Mendez,16B GSA Mendez,U10,Male,AZ,100.0,12,12,0,0
16B Herrera,16B Herrera,U10,Male,AZ,100.0,12,12,0,0
16B Tesensky,16B Tesensky,U10,Male,AZ,100.0,12,12,0,0
16B Wagner,16B Wagner,U10,Male,AZ,100.0,12,12,0,0
CDO 16B Elite,CDO 16B Elite,U10,Male,AZ,100.0,12,12,0,0
Southeast 2016 Boys Red,Southeast 2016 Boys Red,U10,Male,AZ,100.0,12,12,0,0
Tuzos Legends 2016,Tuzos Legends 2016,U10,Male,AZ,100.0,12,12,0,0
PRFC Scottsdale 16B Predator,PRFC Scottsdale 16B Predator,U10,Male,AZ,100.0,13,13,0,0
2016 Boys (Pena),2016 Boys (Pena),U10,Male,AZ,100.0,14,14,0,0
SCUM East Valley 16BE Ninjas,SCUM East Valley 16BE Ninjas,U10,Male,AZ,100.0,14,14,0,0
16B Clay,16B Clay,U10,Male,AZ,100.0,15,15,0,0
PRFC Desert Foothills 16B Predator,PRFC Desert Foothills 16B Predator,U10,Male,AZ,100.0,15,15,0,0
PSC 2016B,PSC 2016B,U10,Male,AZ,100.0,15,15,0,0
State 48 FC Avondale 16 Copper,State 48 FC Avondale 16 Copper,U10,Male,AZ,100.0,15,15,0,0
Tuzos Academy Mesa 2016,Tuzos Academy Mesa 2016,U10,Male,AZ,100.0,15,15,0,0
2016 Boys Blue,2016 Boys Blue,U10,Male,AZ,100.0,16,16,0,0
SASC 2016 B u10 Cardinals Whitney,SASC 2016 B u10 Cardinals Whitney,U10,Male,AZ,100.0,16,16,0,0
SASC 2016B Cardinals Alvarez,SASC 2016B Cardinals Alvarez,U10,Male,AZ,100.0,16,16,0,0
SFC XOLOS ARIZONA 2016B,SFC XOLOS ARIZONA 2016B,U10,Male,AZ,100.0,16,16,0,0
Tuzos 2016/17 Misael,Tuzos 2016/17 Misael,U10,Male,AZ,100.0,16,16,0,0
U-10 (2016) Boys Pre Academy Blue,U-10 (2016) Boys Pre Academy Blue,U10,Male,AZ,100.0,16,16,0,0
16/17B Galindo Nogales,16/17B Galindo Nogales,U10,Male,AZ,100.0,17,17,0,0
CCV STARS 16 Boys South Orange,CCV STARS 16 Boys South Orange,U10,Male,AZ,100.0,17,17,0,0
Chelsea 16B,Chelsea 16B,U10,Male,AZ,100.0,17,17,0,0
EV-NSFC 16 Boys Aguirre(1),EV-NSFC 16 Boys Aguirre(1),U10,Male,AZ,100.0,17,17,0,0
PRFC Desert Foothills 16B Copa,PRFC Desert Foothills 16B Copa,U10,Male,AZ,100.0,17,17,0,0
PRFC Scottsdale 16B Samba,PRFC Scottsdale 16B Samba,U10,Male,AZ,100.0,17,17,0,0
PRFC Southeast Valley 16B Predator,PRFC Southeast Valley 16B Predator,U10,Male,AZ,100.0,17,17,0,0
CCV Stars 16 Boys West Orange,CCV Stars 16 Boys West Orange,U10,Male,AZ,100.0,18,18,0,0
CDO 16B Alliance,CDO 16B Alliance,U10,Male,AZ,100.0,18,18,0,0
AZSC 2016B White 1,AZSC 2016B White 1,U10,Male,AZ,100.0,19,19,0,0
State 48 FC Verrado 16 Black,State 48 FC Verrado 16 Black,U10,Male,AZ,100.0,19,19,0,0
Blue Devils,Blue Devils,U10,Male,AZ,100.0,20,20,0,0
Northwest 2016 Boys Red,Northwest 2016 Boys Red,U10,Male,AZ,100.0,20,20,0,0
PRFC Scottsdale 16B Copa,PRFC Scottsdale 16B Copa,U10,Male,AZ,100.0,20,20,0,0
PRFC West Valley 16B Predator,PRFC West Valley 16B Predator,U10,Male,AZ,100.0,20,20,0,0
U-10 (2016) Boys Pre Academy Orange,U-10 (2016) Boys Pre Academy Orange,U10,Male,AZ,100.0,20,20,0,0
VSC 2016 Boys Green,VSC 2016 Boys Green,U10,Male,AZ,100.0,20,20,0,0
VSC 2016 Boys White,VSC 2016 Boys White,U10,Male,AZ,100.0,20,20,0,0
2016 Rush Boys,TestTeam Gamma 2025 Boys United,U10,Male,AZ,85.5,5,2,0,1080
